region,år,tabellinnehåll,value
Upplands Väsby,2026,"Skattesats, total kommunal",31.75
Upplands Väsby,2026,Skattesats till kommun,19.42
Upplands Väsby,2026,Skattesats till region,12.33
Vallentuna,2026,"Skattesats, total kommunal",31.23
Vallentuna,2026,Skattesats till kommun,18.90
Vallentuna,2026,Skattesats till region,12.33
Österåker,2026,"Skattesats, total kommunal",28.93
Österåker,2026,Skattesats till kommun,16.60
Österåker,2026,Skattesats till region,12.33
Värmdö,2026,"Skattesats, total kommunal",31.31
Värmdö,2026,Skattesats till kommun,18.98
Värmdö,2026,Skattesats till region,12.33
Järfälla,2026,"Skattesats, total kommunal",31.52
Järfälla,2026,Skattesats till kommun,19.19
Järfälla,2026,Skattesats till region,12.33
Ekerö,2026,"Skattesats, total kommunal",31.45
Ekerö,2026,Skattesats till kommun,19.12
Ekerö,2026,Skattesats till region,12.33
Huddinge,2026,"Skattesats, total kommunal",31.71
Huddinge,2026,Skattesats till kommun,19.38
Huddinge,2026,Skattesats till region,12.33
Botkyrka,2026,"Skattesats, total kommunal",32.23
Botkyrka,2026,Skattesats till kommun,19.90
Botkyrka,2026,Skattesats till region,12.33
Salem,2026,"Skattesats, total kommunal",32.00
Salem,2026,Skattesats till kommun,19.67
Salem,2026,Skattesats till region,12.33
Haninge,2026,"Skattesats, total kommunal",31.28
Haninge,2026,Skattesats till kommun,18.95
Haninge,2026,Skattesats till region,12.33
Tyresö,2026,"Skattesats, total kommunal",31.83
Tyresö,2026,Skattesats till kommun,19.50
Tyresö,2026,Skattesats till region,12.33
Upplands-Bro,2026,"Skattesats, total kommunal",31.73
Upplands-Bro,2026,Skattesats till kommun,19.40
Upplands-Bro,2026,Skattesats till region,12.33
Nykvarn,2026,"Skattesats, total kommunal",32.30
Nykvarn,2026,Skattesats till kommun,19.97
Nykvarn,2026,Skattesats till region,12.33
Täby,2026,"Skattesats, total kommunal",29.88
Täby,2026,Skattesats till kommun,17.55
Täby,2026,Skattesats till region,12.33
Danderyd,2026,"Skattesats, total kommunal",30.58
Danderyd,2026,Skattesats till kommun,18.25
Danderyd,2026,Skattesats till region,12.33
Sollentuna,2026,"Skattesats, total kommunal",30.45
Sollentuna,2026,Skattesats till kommun,18.12
Sollentuna,2026,Skattesats till region,12.33
Stockholm,2026,"Skattesats, total kommunal",30.55
Stockholm,2026,Skattesats till kommun,18.22
Stockholm,2026,Skattesats till region,12.33
Södertälje,2026,"Skattesats, total kommunal",32.38
Södertälje,2026,Skattesats till kommun,20.05
Södertälje,2026,Skattesats till region,12.33
Nacka,2026,"Skattesats, total kommunal",30.11
Nacka,2026,Skattesats till kommun,17.78
Nacka,2026,Skattesats till region,12.33
Sundbyberg,2026,"Skattesats, total kommunal",31.58
Sundbyberg,2026,Skattesats till kommun,19.25
Sundbyberg,2026,Skattesats till region,12.33
Solna,2026,"Skattesats, total kommunal",29.70
Solna,2026,Skattesats till kommun,17.37
Solna,2026,Skattesats till region,12.33
Lidingö,2026,"Skattesats, total kommunal",29.67
Lidingö,2026,Skattesats till kommun,17.34
Lidingö,2026,Skattesats till region,12.33
Vaxholm,2026,"Skattesats, total kommunal",31.63
Vaxholm,2026,Skattesats till kommun,19.30
Vaxholm,2026,Skattesats till region,12.33
Norrtälje,2026,"Skattesats, total kommunal",32.05
Norrtälje,2026,Skattesats till kommun,19.72
Norrtälje,2026,Skattesats till region,12.33
Sigtuna,2026,"Skattesats, total kommunal",31.83
Sigtuna,2026,Skattesats till kommun,19.50
Sigtuna,2026,Skattesats till region,12.33
Nynäshamn,2026,"Skattesats, total kommunal",32.18
Nynäshamn,2026,Skattesats till kommun,19.85
Nynäshamn,2026,Skattesats till region,12.33
Håbo,2026,"Skattesats, total kommunal",33.30
Håbo,2026,Skattesats till kommun,21.59
Håbo,2026,Skattesats till region,11.71
Älvkarleby,2026,"Skattesats, total kommunal",34.40
Älvkarleby,2026,Skattesats till kommun,22.69
Älvkarleby,2026,Skattesats till region,11.71
Knivsta,2026,"Skattesats, total kommunal",32.62
Knivsta,2026,Skattesats till kommun,20.91
Knivsta,2026,Skattesats till region,11.71
Heby,2026,"Skattesats, total kommunal",34.21
Heby,2026,Skattesats till kommun,22.50
Heby,2026,Skattesats till region,11.71
Tierp,2026,"Skattesats, total kommunal",33.00
Tierp,2026,Skattesats till kommun,21.29
Tierp,2026,Skattesats till region,11.71
Uppsala,2026,"Skattesats, total kommunal",32.85
Uppsala,2026,Skattesats till kommun,21.14
Uppsala,2026,Skattesats till region,11.71
Enköping,2026,"Skattesats, total kommunal",33.05
Enköping,2026,Skattesats till kommun,21.34
Enköping,2026,Skattesats till region,11.71
Östhammar,2026,"Skattesats, total kommunal",33.30
Östhammar,2026,Skattesats till kommun,21.59
Östhammar,2026,Skattesats till region,11.71
Vingåker,2026,"Skattesats, total kommunal",33.50
Vingåker,2026,Skattesats till kommun,22.67
Vingåker,2026,Skattesats till region,10.83
Gnesta,2026,"Skattesats, total kommunal",32.95
Gnesta,2026,Skattesats till kommun,22.12
Gnesta,2026,Skattesats till region,10.83
Nyköping,2026,"Skattesats, total kommunal",32.25
Nyköping,2026,Skattesats till kommun,21.42
Nyköping,2026,Skattesats till region,10.83
Oxelösund,2026,"Skattesats, total kommunal",33.05
Oxelösund,2026,Skattesats till kommun,22.22
Oxelösund,2026,Skattesats till region,10.83
Flen,2026,"Skattesats, total kommunal",33.10
Flen,2026,Skattesats till kommun,22.27
Flen,2026,Skattesats till region,10.83
Katrineholm,2026,"Skattesats, total kommunal",32.95
Katrineholm,2026,Skattesats till kommun,22.12
Katrineholm,2026,Skattesats till region,10.83
Eskilstuna,2026,"Skattesats, total kommunal",32.85
Eskilstuna,2026,Skattesats till kommun,22.02
Eskilstuna,2026,Skattesats till region,10.83
Strängnäs,2026,"Skattesats, total kommunal",32.50
Strängnäs,2026,Skattesats till kommun,21.67
Strängnäs,2026,Skattesats till region,10.83
Trosa,2026,"Skattesats, total kommunal",32.03
Trosa,2026,Skattesats till kommun,21.20
Trosa,2026,Skattesats till region,10.83
Ödeshög,2026,"Skattesats, total kommunal",33.95
Ödeshög,2026,Skattesats till kommun,22.40
Ödeshög,2026,Skattesats till region,11.55
Ydre,2026,"Skattesats, total kommunal",34.10
Ydre,2026,Skattesats till kommun,22.55
Ydre,2026,Skattesats till region,11.55
Kinda,2026,"Skattesats, total kommunal",33.00
